label,text
2,"the neighbour 2 floors below me does not know how to contorl his dog, esp when in the lifts. he should at least be considerate and make the dog stay in one corner of the lift or wait for the next lift, especially when he knows that not everyone are comfortable around dogs"
2,"my neighbours plants flowers constantly wilt and fall to the ground, it is so unsightly"
2,My neighbour has a habit of keeping plants but the stale water from it is breeding mosquitoes and it is concerning. 
2,We are unsure which neighbour been cooking all the time. It is definitely alright to cook during normal hours. But fried food early in the morning around 5am and late at night around 12am is totally unbearable since our master room windows are facing the kitchen windows!
2,"this neighbour tries to teach his son maths by making it interactive, and have pasted masking tape on the floor to make some activity for him. Not only that when they have their sessions, they jump around in the corridor and make a lot of noise"
2,"i leave a broom outside my house so that i can clean the corridor area outside my house, but this neighbour keeps taking it when he waters his plants or sweep away the dust. He did not even ask for our permission to use it, and when he puts it back, he does not ensure that the broom is relatively clean, so it comes back to use all dirty"
2,"my neighbour's kids always comes over to our door wanting to say hi and talk to us, but sometimes it gets very annoying when we are trying to do work, but want to keep the door open because it's very hot"
2,my neighbour always brings his primary school friends to play at the lift landing area after school and it is very noisy
2,"the kids on my level likes to play card games with his friends at the corridor, or sometimes even catching"
2,"my neighbour is very messy and sometimes when he brings his rubbish out to the rubbish chute, things drop out but he doesnt clean it up and leaves the stains and dirty stuff on the floor"
2,i believe that my neighbour keeps leaving his flyers on my shoe rack bc i receive multiple copies of the same flyer every time
2,"my neighbour always cleans his bicycle outside his house, and when he's done, he leaves a huge mess (bicycle oil stain on the floor etc) and does not clean up"
2,"when my neighbour dries her umbrella, it always flies to my house and she doesn't check to ensure that her umbrella is still in front of her door"
2,"my neighbour with a cat does not train the cat properly and also leaves his door open. once his cat walked into my house, and i think it is not very nice of him because we are scared of cats"
2,"my neighbour does not train his dog properly, and everytime in the lifts, the dog will come over and lick our legs which is very annoying and unhygienic"
2,"when my neighbour invites his friends over, his friends shoes take up so much space, sometimes eating into my half of the corridor. "
2,we usually keep our wooden door open. i suspect someone has been feeding my pet dog treats every day as he has been getting too full to eat dinner. i do not wish for him to have bad eating habits.
2,my neighbour is actually my ex-boyfriend who cheated on me. everytime i see him i have a strong urge to confront him.
2,my neighbours threw a party and they left so much waste behind without even recycling them. this made me feel very agitated seeing that they didn't care for the environment.
2,i think that my neighbour has been urinating at the staircase but i can't be sure. it only happens on my level. 
2,my neighbour makes loud noises when he comes back home from his shift at night. it is really quite loud and usually wake me up from my sleep. i find it hard to fall back asleep afterwards.
2,"my son and our neighbour's son have been very close. however, they suddenly stopped talking. i am not sure if something happend at school and i am getting worried as my son is becoming more quiet nowadays. "
2,the plants in my garden have not been growing very well. sometimes i spot some missing leaves as well. i am not sure if my neighbours are behind this as we do not have evidence.
2,i have a pond outside my house with some fishes. they have been dying and i suspect it is my neighbour's doing. however i have no proof.
2,my neighbours put up a large poster in their house near the front door which can be seen when they open the door. it has some vulgarities and i do not want my children to learn from it. 
2,"we tried telling our neighbours children to stop practicing piano in the late afternoon as my husband takes a night shift. however, they did not stop even though my husband has had trouble sleeping."
3,my neighbour has been obstructing the corridor with his potted plants
3,the old aunty living opoosite has so many plants and it blocks my way when i want to walk past 
3,my neighbour places bulky items in the common corridor despite government posters advising them not to
3,"the bicycles that my neighbour owns have been parked in a way that it intrudes my corridor space, please advise what I can do"
3,my neighbour places their slippers in a very messy way that obstructs the walkway from the lift to my home
3,"i think my neighbour is very inconsiderate when they place bulky items in the corridor occasionally, like baby prams"
3,"my neighbour has an elderly mother, however i would appreciate if her wheelchair when unused is not placed in a way that obstructs the walkway in the corridor"
3,my neighbout always waters his plants and makes a huge splash and the water always hits my shoes
3,"the opposite family always stack things in the corridor and block the lights, i cant see where i am going"
3,my neighbour family leans their bicycle on my shelves and i cannot open it to take out my stuff
3,"i dont like how my neighbour obstructs the walkway by placing bulky items in the middle of the corridor, its ridiculous!"
3,"I dont know how to tell my neighbour to place his shoes in a neat and orderly manner because they are everywhere and the shoeracks beside is empty, which means he is not utilising them"
3,The common corridor outside our hdb flat is small enough and yet my neighbour leaves his skateboard there such that it slightly blocks the path to the lift
3,I think my neighbour could keep his rollerblade shoes in a neater manner as it is currently very far out from his doorstep and we have to avoid it on our way to and from the lift
3,I do not know why my neighbour places his cat food bowl outside his door but it is sometimes in the middle of the corridor when the cat shifts it and it is frustrating to keep avoiding it as we walk
3,My neighbour does not understand the concept of personal space and often leaves his belongings like towel racks creeping into our side of the corridor and it is annoying because he wouldnt listen even after we spoke to him
3,My next door neighbour parked their bicycles outside their unit and overflow to the common area. They are family of 4 but they owned more than 10 bicycles!
3,"This neighbours living next to me, does not bother to keep away their shoes. They are laying all over the corridors. It’s hard not to tripped over or stepped on them. And this caused a scene when they saw us doing that which was not in purpose."
3,"my neighbour's children keep riding their bicycles along the corridor and playing games there with their friends. when we are still working from home, it gets very distracting as they are usually very loud"
3,I would like to complain that my neighbour's potted plants are placed in a messy manner which sort of blocks the common corridor a little bit. 
3,My neighbour's shoes are so messy that it is all over the place and it is very frustrating to have to avoid them while walking. I am asking for help to get them to cooperate
3,Honestly I dont know how to communicate with my neighbour about the fact that his shoes are constantly blocking the common corridor because they are so messy
3,Our garang guni neighbour been piling up the items she collected outside her unit. As such corridor is getting narrower and this could lead to fire hazard. The rest of neighbours could be trapped n could not escape via the staircase.
3,"Our neighbour has 2 sets of PMDs. Despite government announcement, they still continue to charge their PMDs inside the house. We had sleepless nights n were worried what if the exploded and started a fire.  So many neighbours will be affected."
3,"the neighbour opposite me does not arrange his shoes properly, and sometimes it gets into our walkway"
3,my neighbour play drums every night after 12am even after i asked him to stop
3,they have been inviting guests over very frequently and often make a lot of noise late at night
3,"I understand that my neighbour is a musician, however practising piano in the early morning and late at night could be disruptive to our daily lives because it is loud"
3,My RC had karaoke sessions without building in sound proof rooms. They had hokkien singing lessons every week. I think half the block complained before they went on sound proofing the rooms or stopping the sessions.
3,"Every morning I get ready for work and instead of hearing birds chirp I hear my next door neighbour screaming. Either the toddler screams, or his dad does -- sometimes both. Sometimes mom joins in too. Every. Single. Morning."
3,Blasting of music without shutting the door and till the late hours. We have been enduring such behaviour of our next neighbours for eons!
3,my neighbour often slams his door and windows loudly late at night and it disrupts my childrens' sleep
3,"I am okay with them celebrating special occasions, however they could keep their volume down after midnight"
3,my neighbour has been making alot of noise in the wee hours and I am fed up with putting up with it despite numerous gentle reminders on my part
3,"my neighbour above does not teach their baby properly, letting the child just run around at home, creating a lot of noise"
3,I have been receiving many loud stomping / running / skipping noises from my neighbour living above me.
3,"The noises always came from the master bedroom above me after 12am when neighbour returned home. Slamming of doors, showering and banging of furnitures ."
3,"My neighbours living next door loves to invite friends over for karaoke over the weekends. They ended late around 11ish. However during Circuit Breaker, despite not able to invite any guests, they still have many karaoke session during the weekday!"
3,"the aunty on my level keeps playing chanting music at a very loud volume, it is quite eerie especially at night"
3,the teenage girl from the family living across me always sings karaoke at night and it doesn't even sound very nice. it is very distracting especially when i want to do some work 
3,My neighbour's toddler keeps shouting in the middle of the day and it affects my work from home especially when I have meetings.
3,"my neighbour already agreed to keep the noise level down from their drumming practice at night, but it is still so loud and makes my baby cry every night"
3,"my neighbour always walks very loudly, especially when he goes and throw his rubbish, he drags his slippers and always drops the rubbish very loudly into the rubbish chute, causing a very loud sound"
3,"the neighbour below me always invites his friends over to his place to play mahjong and they talk and laugh very loudly even late into the night. once when i had exams, i asked if they could lower their volume and they were very rude to me"
3,"my neighbour below blasts his TV very loudly, and esp on nights where there's football, it's like a party going on downstairs"
3,my neighbour is a Christian and always invites his friends over for worship and they play their music very loudly
3,"my neighbour always practices his chanting and plays his music very loudly, that the whole floor can hear"
3,I know that my neighbour have been littering in the common corridors such as throwing used tissue paper
3,My neighbour often invites his relatives over and their children always leaves sweet wrappers on the common corridor or in bicycle baskets
3,Sometimes my neighbours throw their litter near the bin instead of in the bin and i think it is not considerate for the cleaners
